,gibbs_diff,Gene_Name,experiment,cell_line,expression,condition,gibbs
0,144.99698031897424,AAR2,11,TC252,9.421873831000001,control,-61.797794534342096
1,129.78349177830387,ABCE1,11,TC252,12.86496901,control,-68.35910695321813
2,93.11075500486186,ABL1,11,TC252,11.07152022,control,-56.03033636062474
3,73.35283414344303,ACIN1,11,TC252,12.46206526,control,-57.22574206358016
4,71.94469572225353,ACLY,11,TC252,13.38776187,control,-57.18426121305765
5,69.61720131454058,ACO2,11,TC252,11.03887183,control,-53.28580765424359
6,133.84215301059885,ACTB,11,TC252,14.94760355,control,-77.29841126304228
7,102.46487905440156,ACTG1,11,TC252,16.11410451,control,-72.65308855376625
8,84.51557693752694,ACTL6A,11,TC252,12.38222231,control,-59.26936770878679
9,86.59176327002933,ACTR2,11,TC252,13.17582706,control,-61.8529189952191
10,72.64912274404196,ACTR3,11,TC252,13.25998817,control,-57.31231289986657
11,68.69937646016479,ADSL,11,TC252,11.89851297,control,-53.026353921902995
12,91.14224487991305,AGO2,11,TC252,11.21342212,control,-53.080886700844026
13,67.36349381721811,AHCY,11,TC252,12.63959228,control,-53.04233859624773
14,86.0288816955872,AHCYL1,11,TC252,11.51638964,control,-56.78484267322967
15,71.42479196062777,AHNAK,11,TC252,13.66954914,control,-59.14633075480815
16,84.28547916875685,AHSA1,11,TC252,11.91816176,control,-61.426579477081255
17,135.67216989200097,AKT1,11,TC252,11.31561388,control,-64.48130573213993
18,76.79777200712124,ALDOA,11,TC252,12.47658929,control,-57.71348245485591
19,75.49622428516159,ALYREF,11,TC252,11.92730986,control,-58.96742926686019
20,78.05889326264149,AMFR,11,TC252,11.34291355,control,-52.927465615474716
21,91.46060885663609,ANLN,11,TC252,12.64266846,control,-59.53114059711673
22,91.87115736381384,ANXA2,11,TC252,14.78267921,control,-65.8143634979081
23,89.33337694103831,ANXA7,11,TC252,11.48969167,control,-53.61654976166321
24,125.21808060904732,AP2M1,11,TC252,13.17696359,control,-65.84158591095152
25,99.17036388977431,APC,11,TC252,11.14482796,control,-55.996160012884474
26,74.1799702810822,APEX1,11,TC252,12.633434699999999,control,-55.488694785659284
27,76.0139069490833,API5,11,TC252,12.39629007,control,-58.86896851920463
28,1738.172103055403,APP,11,TC252,14.41958056,control,-100.92151378397722
29,92.03899689379614,ARF1,11,TC252,13.25739653,control,-61.42035411340894
30,123.86569064925423,ARIH1,11,TC252,11.66336078,control,-59.88788292970425
31,88.31278443010521,ARNT,11,TC252,11.45793302,control,-57.06638016403932
32,70.1527125777211,ASPM,11,TC252,13.97043062,control,-52.633871695956685
33,95.40562838944606,ATF2,11,TC252,11.39108607,control,-60.096963545505595
34,101.78180326649452,ATM,11,TC252,11.79857602,control,-58.79377920756127
35,102.18090443778785,ATP1A1,11,TC252,14.85855483,control,-69.96096973491858
36,103.76944390533026,ATP5A1,11,TC252,13.88316009,control,-70.35325281854632
37,115.36283422308044,ATP5B,11,TC252,13.68281668,control,-67.34310371712274
38,75.17472278646892,ATP5C1,11,TC252,11.81266924,control,-55.81822506086458
39,76.3183417771943,ATP5F1,11,TC252,12.20149921,control,-55.082873342670915
40,68.35091326956172,ATP6V1A,11,TC252,12.06629979,control,-52.73728150564919
41,155.0979326253873,AURKA,11,TC252,11.5461385,control,-65.89815088809286
42,77.88109397049993,AURKB,11,TC252,10.38322387,control,-53.01245936302741
43,221.87500105536307,BAG3,11,TC252,9.42078822,control,-57.23716141693078
44,119.0999770326307,BARD1,11,TC252,10.90846188,control,-60.89516685308976
45,69.77610394055955,BCLAF1,11,TC252,13.30881179,control,-57.521251978611105
46,293.7181594267604,BRCA1,11,TC252,11.41652053,control,-77.51596528508598
47,114.74873988924082,BSG,11,TC252,11.72770617,control,-58.26687753515024
48,68.69371384714032,BTF3,11,TC252,13.33950763,control,-55.12459824214591
49,149.5116246235557,BTRC,11,TC252,10.08707971,control,-59.64931383176299
50,74.74084374925587,BUB1B,11,TC252,12.55206529,control,-55.97983569577656
51,70.70936708868248,BUB3,11,TC252,11.97258464,control,-53.83564058560104
52,62.42168409266742,C14orf166,11,TC252,12.15408562,control,-53.28174859888124
53,123.18174741923576,C1QBP,11,TC252,13.181452499999999,control,-67.81350528691105
54,68.53999542450765,CACYBP,11,TC252,13.10416325,control,-52.97777292096435
55,73.19902287598234,CAD,11,TC252,12.26120614,control,-59.72646682035409
56,117.34271104756044,CALCOCO2,11,TC252,11.31859311,control,-57.272253849799796
57,151.44005795713747,CALM1,11,TC252,13.50006727,control,-71.01975626080109
58,94.32711238606134,CALR,11,TC252,14.15553521,control,-61.944742477066484
59,84.61440501379548,CALU,11,TC252,13.06101188,control,-59.46353703374706
60,263.9214349127142,CAND1,11,TC252,13.49218669,control,-85.71928859248746
61,149.2757974516717,CANX,11,TC252,14.79955149,control,-72.6820524167575
62,60.967144039750565,CAPRIN1,11,TC252,14.52733244,control,-55.92590783792479
63,68.57559981674422,CAPZA1,11,TC252,12.97366296,control,-57.194783714551576
64,140.7303125722101,CAPZA2,11,TC252,12.31290554,control,-65.41927401554392
65,117.82679535978241,CAV1,11,TC252,15.5833904,control,-69.53785084685427
66,91.05358885612804,CBL,11,TC252,10.550868300000001,control,-55.45452010670225
67,88.50863475940426,CBX1,11,TC252,12.58232369,control,-55.05469568596885
68,105.9948814252275,CBX3,11,TC252,12.82333937,control,-61.38847210931705
69,200.0664757709601,CBX5,11,TC252,13.55921431,control,-66.86219585144424
70,67.77664190233918,CCAR2,11,TC252,11.56398699,control,-54.4429986038969
